,Active Status,Customer,Balance,Balance Total,Company,Mr./Ms./...,First Name,M.I.,Last Name,Primary Contact,Main Phone,Fax,Alt. Phone,Secondary Contact,Job Title,Main Email,Bill to 1,Bill to 2,Bill to 3,Bill to 4,Bill to 5,Ship to 1,Ship to 2,Ship to 3,Ship to 4,Ship to 5,Customer Type,Terms,Rep,Sales Tax Code,Tax item,Resale Num,Account No.,Credit Limit,Job Status,Job Type,Job Description,Start Date,Projected End,End Date
,Active,101 Constitution Trust,0,0,,,,,,,,,,,,,Mr. Randy J. Sowell,Chief Executive Officer,101 Constitution Trust,"533 South Fremont Avenue, 9th Floor","Los Angeles, CA 90071",,,,,,,,,,,,,,,,,,,
,Active,"360-Irvine, LLC",0,2000,,,,,,,,,,,,,Mr. Jay Greenwood,"360-Irvine, LLC","5910 N. Central Expressway, #900","Dallas, TX 75205",,,,,,,,,,,,,,,,,,,,
,Active,"360-Irvine, LLC:13-6996 2852 McGaw Ave Irvine CA",2000,2000,,,,,,,,,,,,,Mr. Jay Greenwood,"360-Irvine, LLC","5910 N. Central Expressway, #900","Dallas, TX 75205",,,,,,,,,,,,,,,,,,,,
,Active,"5113 NoHo, LLC",0,0,,,,,,,,,,,,,Mr. Jeff Walden,"5113 NoHo, LLC","5482 Wilshire Boulevard, Suite 1601","Los Angeles, CA 90036",,,,,,,,,,,,,,,,,,,,
,Active,800 Corporation,0,0,800 Corporation,Mr.,Thomas,J.,"Harrold, Jr.","Thomas J. Harrold, Jr.",,,,,,,800 Corporation,"c/o Thomas J. Harrold, Jr.","Miller & Martin, LLP","1170 Peachtree Street, NE, Ste 800","Atlanta, GA 30309-7649",,,,,,,,,,,,,,,,,,,
,Active,Access Community Health,0,0,Access Community Health,Mr.,James,,Murphy,James Murphy,773-257-6424,773-257-5171,,,,,Mr. James Murphy,Access Community Health,1501 South California,"Chicago, IL 60608",,,,,,,,,,Non,,,,,,,,,,
,Active,"Actelion Pharmaceuticals US, Inc.",0,0,,,,,,,,,,,,,"Actelion Pharmaceuticals US, Inc.","5000 Shoreline Court, Suite 200","South San Francisco, CA 94080",Attn: Perry Goldman - VP Legal Affairs,,,,,,,,,,,,,,,,,,,,
,Active,"AEGON USA Realty Advisors, Inc.",0,0,"AEGON USA Realty Advisors, Inc.",Mr.,Gregory,A.,"Dryden, MAI, CCIM, CRE.","Gregory A. Dryden, MAI, C CIM,CRE.",319 - 369 - 2245,319 - 369 - 2277,319 - 298 - 4118,"Larry D. Papkin, MAI",,,Mr. David Blankenship,"AEGON USA Realty Advisors, Inc.",4333 Edgewood Road NE,"Cedar Rapids, IA 52499-5443",,,,,,,,,,Non,,,,,,,,,,
,Active,AEW Capital Management,0,15900,,,,,,,,,,,,,AEW Capital Management,Mr. Jonathan E. Martin,World Trade Center East,Two Seaport Lane,"Boston, MA 02210-2021",,,,,,,,,,,,,,,,,,,
,Active,AEW Capital Management:13-5415M2 90 South Ridge St. Rye Brook NY,4400,4400,,,,,,,,,,,,,AEW Capital Management,Mr. Jonathan E. Martin,World Trade Center East,Two Seaport Lane,"Boston, MA 02210-2021",,,,,,,,,,,,,,,,,,,
,Active,AEW Capital Management:13-5872M2 Museum Gardens Los Angeles CA,0,0,,,,,,,,,,,,,AEW Capital Management,Mr. Jonathan E. Martin,World Trade Center East,Two Seaport Lane,"Boston, MA 02210-2021",,,,,,,,,,,,,,,,,,,
,Active,AEW Capital Management:13-6962 Cabot Drive Holdings Hamilton NJ,3000,3000,,,,,,,,,,,,,AEW Capital Management,Mr. Jonathan E. Martin,World Trade Center East,Two Seaport Lane,"Boston, MA 02210-2021",,,,,,,,,,,,,,,,,,,
,Active,AEW Capital Management:13-6965 Montierra Houston Apts Houston,4000,4000,,,,,,,,,,,,,AEW Capital Management,Mr. Jonathan E. Martin,World Trade Center East,Two Seaport Lane,"Boston, MA 02210-2021",,,,,,,,,,,,,,,,,,,
,Active,AEW Capital Management:13-7200 The Gables at Waters Landing MD,4500,4500,,,,,,,,,,,,,AEW Capital Management,Mr. Jonathan E. Martin,World Trade Center East,Two Seaport Lane,"Boston, MA 02210-2021",,,,,,,,,,,,,,,,,,,
,Active,AIG Investments,0,0,,,,,,,,,,,,,"Mark A. Vollmer, MAI, FRICS",Vice President/Chief Appraiser,AIG Global Real Estate,"599 Lexington Avenue, 24th Floor","New York, NY 10022",,,,,,,,,,,,,,,,,,,
,Active,"Akridge Office Fund, LLC",0,0,"Akridge Office Fund, LLC",Mr.,Brian,A.,Cass,Brian A. Cass,,,,,,,"Akridge Office Fund, LLC","c/o Mr. Brian A. Cass, CPA, CFA","601 13th Street, NW",Suite 300 North,"Washington, DC  20005",,,,,,,,,,,,,,,,,,,
,Active,Alcatel-Lucent Investment Management Corp,0,8300,,,,,,,,,,,,,Karen S. Cole - Investment Oper. Speciali,Alcatel-Lucent Investment Management Corp,600 Mountain Avenue,Room 2C-434A,"Murray Hill, NJ 07974",,,,,,,,,,,,,,,,,,,
,Active,Alcatel-Lucent Investment Management Corp:12-6339M1 Jefferson Point Newport News VA,4300,4300,,,,,,,,,,,,,*Karen S. Cole -Investment Oper. Speciali,Alcatel-Lucent Investment Management Corp,600 Mountain Avenue,Room 2C-434A,"Murray Hill, NJ 07974",,,,,,,,,,,,,,,,,,,
,Active,Alcatel-Lucent Investment Management Corp:12-6340M1 Hunter Road (Kellogg) Atlanta,4000,4000,,,,,,,,,,,,,*Karen S. Cole -Investment Oper. Speciali,Alcatel-Lucent Investment Management Corp,600 Mountain Avenue,Room 2C-434A,"Murray Hill, NJ 07974",,,,,,,,,,,,,,,,,,,
,Active,Alecta Real Estate Atlanta LLC,0,0,,,,,,,,,,,,,Alecta Real Estate Atlanta LLC,C/O Carter and Associates,100 Hartsfield Centre Pkwy,Suite 160,"Atlanta, GA 30354",,,,,,,,,,,,,,,,,,,
,Active,Alliance Bank,0,0,Alliance Bank,Mr.,Jeff,A,Berkley,Jeff A Berkley,(785) 271-1800,(785) 271-2111,,,,,Alliance Bank,Jeff A Berkley,3001 SW Wanamaker Road,"Topeka, Kansas 66614",,Alliance Bank,Jeff A Berkley,3001 SW Wanamaker Road,"Topeka, Kansas 66614",,,,,Non,,,,,,,,,,
,Active,Allied District Properties,0,0,,,,,,,,,,,,,Mr. Paul Goodman,Allied District Properties,180 N. Stetson Avenue,Suite 3240,"Chicago, IL 60601",,,,,,,,,,,,,,,,,,,
,Active,Allied Irish Bank,0,0,Allied Irish Bank,Mr.,John,,Hall,John Hall,,,,,,,Mr. John Hall,Allied Irish Bank,190 South LaSalle Street,Suite 900,"Chicago, IL  60603",,,,,,,,,Non,,,,,,,,,,
,Active,"Allstate Investments, LLC",0,0,"Allstate Investments, LLC",Mr.,David,L.,"Kocourek, CFA","David L. Kocourek, CFA",847-402-0427,847-402-4346,,,,,"Allstate Investments, LLC",Greg Mitkovetsky,"3075 Sanders Road,","G5C Northbrook, IL 60062",,,,,,,,,,Non,,,,,,,,,,
,Active,Altus Group,0,0,PricewaterhouseCoopers LLP,Mr.,Michael,,Yurinich,,,,,,,,Altus Group,Ms. Jessica Park,Harborside Financial Center,"34 Exchange Place - 902 Plaza 2, 9th FL","Jersey City, NJ 07311",,,,,,,,,Non,,,,,,,,,,
,Active,American Appraisal Associates,0,0,"American Appraisal Associates, Inc.",,,,,,,,,,,,"American Appraisal Associates, Inc.",,,"18881 Von Karman Avenue, Suite 700","Irvine, California 92612","American Appraisal Associates, Inc.",,,"18881 Von Karman Avenue, Suite 700","Irvine, California 92612",,,,Non,,,,,,,,,,
,Active,"American Honda Motor Company, Inc.",0,0,,,,,,,,,,,,,"American Honda Motor Company, Inc.",c/o Mr. Jay Briscione,"The Meers Group, Ltd",37 Beach Road,"Monmouth Beach, NJ 07750",,,,,,,,,,,,,,,,,,,
,Active,American Realty Advisors,0,27035,,,,,,,,,,,,,,801 North Brand Boulevard,Suite 800,"Glendale, CA 91203",,,,,,,,,,,,,,,,,,,,
,Active,American Realty Advisors:12-6372 Waikoloa Land HI,3000,3000,,,,,,,,,,,,,Ted Novy,American Realty Advisors,801 North Brand Boulevard,Suite 800,"Glendale, CA 91203",,,,,,,,,,,,,,,,,,,
,Active,American Realty Advisors:13-6788M1 3555-3602 W. Washington St. AZ,3705,3705,,,,,,,,,,,,,,801 North Brand Boulevard,Suite 800,"Glendale, CA 91203",,,,,,,,,,,,,,,,,,,,
,Active,American Realty Advisors:13-6789M1 18401 Von Karman Irvine CA,5462.5,5462.5,,,,,,,,,,,,,,801 North Brand Boulevard,Suite 800,"Glendale, CA 91203",,,,,,,,,,,,,,,,,,,,
,Active,American Realty Advisors:13-6790M1 Weston Lakeside Apartments Cary,4180,4180,,,,,,,,,,,,,,801 North Brand Boulevard,Suite 800,"Glendale, CA 91203",,,,,,,,,,,,,,,,,,,,
,Active,American Realty Advisors:13-6791M1 Great America Tower Phoenix AZ,6412.5,6412.5,,,,,,,,,,,,,,801 North Brand Boulevard,Suite 800,"Glendale, CA 91203",,,,,,,,,,,,,,,,,,,,
,Active,American Realty Advisors:13-6792M1 Alara Summerfield Aurora IL,4275,4275,,,,,,,,,,,,,,801 North Brand Boulevard,Suite 800,"Glendale, CA 91203",,,,,,,,,,,,,,,,,,,,
,Active,AmeriSphere,0,0,,,,,,,,,,,,,AmeriSphere,4890 Alpha Road,Suite 110,"Dallas, TX 75244-4639",Beverlie Warling - Loan Processer,,,,,,,,,,,,,,,,,,,
,Active,Anglo Irish Boston CorporationD,0,0,Anglo Irish Boston CorporationD,Mr.,Paul,,Davis,Paul Davis,,,,,,,Mr. Paul Davis,VP - Commercial Real Estate Banking,Anglo Irish Boston CorporationD,"265 Franklin St., 19th Floor","Boston, MA  02110",,,,,,,,,,,,,,,,,,,
,Active,Archetype Mortgage Capital,0,0,,,,,,,,,,,,,Lyndsay Stephenson,Archetype Mortgage Capital,1114 Avenue of the Americas,38th Floor,"New York, NY 10036",,,,,,,,,,,,,,,,,,,
,Active,Archetype Mortgage Capital:12-6322 Lapour Corporate Center Las Vegas,0,0,,,,,,,,,,,,,Lyndsay Stephenson,Archetype Mortgage Capital,1114 Avenue of the Americas,38th Floor,"New York, NY 10036",,,,,,,,,,,,,,,,,,,
,Active,Archon  Financial,0,0,Archon Financial,Mr.,John,,Graham,John Graham,972-501-3974,972-830-7698,,,,,Mr. John Graham,Archon Financial,"600 E. Las Colinas Blvd., Suite 450","Irving, Texas  75039",,,,,,,,,,Non,,,,,,,,,,
,Active,"Archon Group, LP",0,0,,,,,,,,,,,,,"Doug Prickett, MAI, CCIM","Archon Group, LP",6011 Connection Drive,"Irving, TX 75039",,,,,,,,,,,,,,,,,,,,
,Active,Arnold & Kadjan,0,0,Arnold & Kadjan,Mr.,Hugh,,Arnold,Hugh Arnold,,,,,,,Mr. Hugh Arnold,c/o Arnold & Kadjan,"19 West Jackson Blvd.,","Chicago, IL  60604",,,,,,,,,,,,,,,,,,,,
,Active,Aronson And Associates Ltd.,0,0,Aronson and Associates Ltd.,Mr.,Brian,F.,Aronson,Brian F. Aronson,847-537-9140,,,,,,"Mr. Brian F. Aronson, MAI",Aronson and Associates Ltd.,"1020 N. Milwaukee Ave., Suite 300B","Deerfield, IL  60015",,,,,,,,,,Non,,,,,,,,,,
,Active,Arthur Lloyd LLC,0,0,,,,,,,,,,,,,Jeff Hutton,120 Oxford Court,Suite 100,"Austin, TX 78737",,,,,,,,,,,,,,,,,,,,
