,"Active Status","Customer","Balance","Balance Total","Company","Mr./Ms./...","First Name","M.I.","Last Name","Primary Contact","Main Phone","Fax","Alt. Phone","Secondary Contact","Job Title","Main Email","Bill to 1","Bill to 2","Bill to 3","Bill to 4","Bill to 5","Ship to 1","Ship to 2","Ship to 3","Ship to 4","Ship to 5","Customer Type","Terms","Rep","Sales Tax Code","Tax item","Resale Num","Account No.","Credit Limit","Job Status","Job Type","Job Description","Start Date","Projected End","End Date"
,"Active","101 Constitution Trust",0.00,0.00,,,,,,,,,,,,,"Mr. Randy J. Sowell","Chief Executive Officer","101 Constitution Trust","533 South Fremont Avenue, 9th Floor","Los Angeles, CA 90071",,,,,,,,,,,,,"",,,,,,
,"Active","360-Irvine, LLC",0.00,0.00,,,,,,,,,,,,,"Mr. Jay Greenwood","360-Irvine, LLC","5910 N. Central Expressway, #900","Dallas, TX 75205",,,,,,,,,,,,,,"",,,,,,
,"Active","5113 NoHo, LLC",0.00,0.00,,,,,,,,,,,,,"Mr. Jeff Walden","5113 NoHo, LLC","5482 Wilshire Boulevard, Suite 1601","Los Angeles, CA 90036",,,,,,,,,,,,,,"",,,,,,
,"Active","800 Corporation",0.00,0.00,"800 Corporation","Mr.","Thomas","J.","Harrold, Jr.","Thomas J. Harrold, Jr.",,,,,,,"800 Corporation","c/o Thomas J. Harrold, Jr.","Miller & Martin, LLP","1170 Peachtree Street, NE, Ste 800","Atlanta, GA 30309-7649",,,,,,,,,,,,,"",,,,,,
,"Active","Access Community Health",0.00,0.00,"Access Community Health","Mr.","James",,"Murphy","James Murphy","773-257-6424","773-257-5171",,,,,"Mr. James Murphy","Access Community Health","1501 South California","Chicago, IL 60608",,,,,,,,,,"Non",,,,"",,,,,,
,"Active","Actelion Pharmaceuticals US, Inc.",0.00,0.00,,,,,,,,,,,,,"Actelion Pharmaceuticals US, Inc.","5000 Shoreline Court, Suite 200","South San Francisco, CA 94080","Attn: Perry Goldman - VP Legal Affairs",,,,,,,,,,,,,,"",,,,,,
,"Active","AEGON USA Realty Advisors, Inc.",0.00,0.00,"AEGON USA Realty Advisors, Inc.","Mr.","Gregory","A.","Dryden, MAI, CCIM, CRE.","Gregory A. Dryden, MAI, C CIM,CRE.","319 - 369 - 2245","319 - 369 - 2277","319 - 298 - 4118","Larry D. Papkin, MAI",,,"Mr. David Blankenship","AEGON USA Realty Advisors, Inc.","4333 Edgewood Road NE","Cedar Rapids, IA 52499-5443",,,,,,,,,,"Non",,,,"",,,,,,
,"Active","AEW Capital Management",0.00,13500.00,,,,,,,,,,,,,"AEW Capital Management","Mr. Jonathan E. Martin","World Trade Center East","Two Seaport Lane","Boston, MA 02210-2021",,,,,,,,,,,,,"",,,,,,
,"Active","AEW Capital Management:13-5869M2 Kent Valley Industrial Kent WA",4000.00,4000.00,,,,,,,,,,,,,"AEW Capital Management","Mr. Jonathan E. Martin","World Trade Center East","Two Seaport Lane","Boston, MA 02210-2021",,,,,,,,,,,,,"",,,,,,
,"Active","AEW Capital Management:13-5872M2 Museum Gardens Los Angeles CA",0.00,0.00,,,,,,,,,,,,,"AEW Capital Management","Mr. Jonathan E. Martin","World Trade Center East","Two Seaport Lane","Boston, MA 02210-2021",,,,,,,,,,,,,"",,,,,,
,"Active","AEW Capital Management:13-5874M2 Sierra Gateway Fontana CA",4000.00,4000.00,,,,,,,,,,,,,"AEW Capital Management","Mr. Jonathan E. Martin","World Trade Center East","Two Seaport Lane","Boston, MA 02210-2021",,,,,,,,,,,,,"",,,,,,
,"Active","AEW Capital Management:13-5892M2 14000Arminita Industrial CA",2750.00,2750.00,,,,,,,,,,,,,"AEW Capital Management","Mr. Jonathan E. Martin","World Trade Center East","Two Seaport Lane","Boston, MA 02210-2021",,,,,,,,,,,,,"",,,,,,
,"Active","AEW Capital Management:13-5893M2 14300 Arminita Industrial CA",2750.00,2750.00,,,,,,,,,,,,,"AEW Capital Management","Mr. Jonathan E. Martin","World Trade Center East","Two Seaport Lane","Boston, MA 02210-2021",,,,,,,,,,,,,"",,,,,,
,"Active","AGI Capital",0.00,3800.00,,,,,,,,,,,,,"Eric Tao","AGI Capital","100 Bush Street","22nd Floor","San Francisco, CA 94104",,,,,,,,,,,,,"",,,,,,
,"Active","AGI Capital:13-7735 1201-1225 Tennessee Street CA",3800.00,3800.00,,,,,,,,,,,,,"Eric Tao","AGI Capital","100 Bush Street","22nd Floor","San Francisco, CA 94104",,,,,,,,,,,,,"",,,,,,
,"Active","AIG Investments",0.00,0.00,,,,,,,,,,,,,"Mark A. Vollmer, MAI, FRICS","Vice President/Chief Appraiser","AIG Global Real Estate","599 Lexington Avenue, 24th Floor","New York, NY 10022",,,,,,,,,,,,,"",,,,,,
,"Active","Akridge Office Fund, LLC",0.00,0.00,"Akridge Office Fund, LLC","Mr.","Brian","A.","Cass","Brian A. Cass",,,,,,,"Akridge Office Fund, LLC","c/o Mr. Brian A. Cass, CPA, CFA","601 13th Street, NW","Suite 300 North","Washington, DC  20005",,,,,,,,,,,,,"",,,,,,
,"Active","Alcatel-Lucent Investment Management Corp",0.00,0.00,,,,,,,,,,,,,"Karen S. Cole - Investment Oper. Speciali","Alcatel-Lucent Investment Management Corp","600 Mountain Avenue","Room 2C-434A","Murray Hill, NJ 07974",,,,,,,,,,,,,"",,,,,,
