ALABAMA,,,,,,
Name:,"Lisa Brooks, Executive Director",Name:,"Neva Conway, General Counsel",,,
,Lisa.Brooks@reab.alabama.gov,,Neva.Conway@reab.alabama.gov,,,
,,,,,,
Address:,,Real Estate Appraisers Board,,,Website :,http://reab.state.al.us
,,PO Box 304355,,,Phone :,334-242-8747
,,Montgomery,,,Fax :,334-242-8749
,,ALABAMA,,,,
,,36130-4355,,,,
,,,,,,
ALASKA,,,,,,
Name:,"Alysha Hernandez, Licensing Examiner",,,,,
,alysha.hernandez@alaska.gov,,,,,
,,,,,,
Address:,,Board of Certified Real Estate Appraisers,,,Website :,http://commerce.alaska.gov/dnn/cbpl/ProfessionalLicensing/RealEstateAppraisers.aspx
,,PO Box 110806,,,Phone :,907-465-8443
,,Juneau,,,Fax :,907-465-2974
,,ALASKA,,,,
,,99811-0806,,,,
,,,,,,
ARIZONA,,,,,,
Name:,"Debra J. Rudd, Executive Director",Name:,Staff,,,
,debra1@azboa.gov,,info@azboa.gov,,,
,,,,,,
Address:,,Arizona Board of Appraisal,,,Website :,http://www.azboa.gov
,,"15 S. 15th Avenue, Suite 103A",,,Phone :,602-542-1558
,,Phoenix,,,Fax :,602-542-1598
,,ARIZONA,,,,
,,85007,,,,
,,,,,,
ARKANSAS,,,,,,
Name:,"Lee Gordon, Executive Director",Name:,Staff,,,
,Lee.Gordon@arkansas.gov,,alcb@mail.state.ar.us,,,
,,,,,,
Address:,,Appraiser Licensing and Certification Board,,,Website :,http://www.arkansas.gov/alcb/
,,"101 East Capitol, Suite 430",,,Phone :,501-296-1843
,,Little Rock,,,Fax :,501-296-1844
,,ARKANSAS,,,,
,,72201,,,,
,,,,,,
CALIFORNIA,,,,,,
Name:,"Jim Martin, Bureau Chief",,,,,
,Jim.Martin@orea.ca.gov,,,,,
,,,,,,
Address:,,Bureau of Real Estate Appraisers,,,Website :,http://www.orea.ca.gov
,,"1102 Q Street, Suite 4100",,,Phone :,916-552-9000
,,Sacramento,,,Fax :,916-552-9008
,,CALIFORNIA,,,,
,,95811,,,,
,,,,,,
COLORADO,,,,,,
Name:,Staff,,,,,
,real-estate@dora.state.co.us,,,,,
,,,,,,
Address:,,Board of Real Estate Appraisers,,,Website :,http://www.dora.state.co.us/real-estate/appraiserlicensing.htm
,,"1560 Broadway, Suite 925",,,Phone :,303-894-2166
,,Denver,,,Fax :,303-894-2683
,,COLORADO,,,,
,,80203,,,,
,,,,,,
CONNECTICUT,,,,,,
Name:,"Linda Kieft-Robitaille, Real Estate Examiner",,,,,
,real.estate@ct.gov,,,,,
,,,,,,
Address:,,Department of Consumer Protection,,,Website :,http://www.ct.gov/dcp/site/default.asp?dcpNav_GID=1539
,,165 Capitol Avenue,,,Phone :,860-713-6146
,,Hartford,,,Fax :,860-706-1364
,,CONNECTICUT,,,,
,,6106,,,,
,,,,,,
DELAWARE,,,,,,
Name:,"Amanda McAtee, Administrative Specialist II, Council of Real Estate Appraisers",,,,,
,Amanda.McAtee@state.de.us,,,,,
,,,,,,
Address:,,Division of Professional Regulation,,,Website :,http://www.dpr.delaware.gov/boards/realestateappraisers/index.shtml
,,"861 Silver Lake Blvd, Suite 203",,,Phone :,302-677-7309
,,Dover,,,Fax :,302-739-2711
,,DELAWARE,,,,
,,19904,,,,
,,,,,,
DISTRICT OF COLUMBIA,,,,,,
Name:,"Leon Lewis, Program Manager",,,,,
,leon.lewis@dc.gov,,,,,
,,,,,,
Address:,,Pearson VUE,,,Website :,http://www.pearsonvue.com/dc/appraisers/
,,"8401 Corporate Drive, Suite 250",,,Phone :,202-442-4341
,,Landover,,,Fax :,202-698-4329
,,DISTRICT OF COLUMBIA,,,,
,,20785,,,,
,,,,,,
FLORIDA,,,,,,
Name:,"Juana Watkins, Director",,,,,
,Not Specified,,,,,
,,,,,,
Address:,,Division of Real Estate/DBPR,,,Website :,http://www.myflorida.com/dbpr/re/index.html
,,"400 W. Robinson Street, Suite N801",,,Phone :,(850) 487-1395
,,Orlando,,,Fax :,(407) 317-7245
,,FLORIDA,,,,
,,32801-1772,,,,
,,,,,,
GEORGIA,,,,,,
Name:,"William L. Rogers, Jr., Real Estate Commissioner",Name:,Office,,,
,Not Specified,,greab@grec.state.ga.us,,,
,,,,,,
Address:,,Real Estate Appraisers Board,,,Website :,http://www.greab.state.ga.us/
,,"229 Peachtree Street, NE",,,Phone :,404-656-3916
,,Atlanta,,,Fax :,404-656-6650
,,GEORGIA,,,,
,,30303-1605,,,,
,,,,,,
GUAM,,,,,,
Name:,"John Q. Carlos, Regulatory Programs Administrator",,,,,
,jqcarlos@revtax.gov.gu,,,,,
,,,,,,
Address:,,Department of Revenue and Taxation,,,Website :,http://www.guamtax.com/
,,1240 Route 16 Army Drive,,,Phone :,671-635-1843
,,Barrigada,,,Fax :,671-633-2643
,,GUAM,,,,
,,96921,,,,
,,,,,,
HAWAII,,,,,,
Name:,"Alan Taniguchi, Executive Officer",,,,,
,appraiser@dcca.hawaii.gov,,,,,
,,,,,,
Address:,,Real Estate Appraisers Section,,,Website :,http://www.hawaii.gov/dcca/areas/pvl/programs/realestateappraiser/
,,PO Box 3469,,,Phone :,808-586-2701
,,Honolulu,,,Fax :,808-586-2689
,,HAWAII,,,,
,,96801,,,,
,,,,,,
IDAHO,,,,,,
Name:,Staff,,,,,
,rea@ibol.idaho.gov,,,,,
,,,,,,
Address:,,Real Estate Appraiser Board,,,Website :,http://ibol.idaho.gov/IBOL/BoardPage.aspx?Bureau=REA
,,700 W. State Street,,,Phone :,208-334-3233
,,Boise,,,Fax :,208-334-3945
,,IDAHO,,,,
,,83702,,,,
,,,,,,
ILLINOIS,,,,,,
Name:,"Brian Weaver, Appraisal Coordinator",,,,,
,Brian.Weaver@illinois.gov,,,,,
,,,,,,
Address:,,Real Estate Appraisal Administration Division,,,Website :,http://www.idfpr.com/dpr/re/APPRAISAL.asp
,,"100 W. Randolph Street, 9th Floor",,,Phone :,312-793-6608
,,Chicago,,,Fax :,312-793-8720
,,ILLINOIS,,,,
,,60601,,,,
,,,,,,
INDIANA,,,,,,
Name:,"Jeanette Langford, Board Director, Real Estate Appraiser Licensure and Certification Board",,,,,
,pla9@pla.in.gov,,,,,
,,,,,,
Address:,,Real Estate Appraiser Lic. and Cert. Board,,,Website :,http://www.in.gov/pla/appraiser.htm
,,"402. W. Washington, Room W072",,,Phone :,317-234-3009
,,Indianapolis,,,Fax :,317-233-5559
,,INDIANA,,,,
,,46204,,,,
,,,,,,
IOWA,,,,,,
Name:,"Toni Bright, Executive Officer",Name:,Jennifer Morrison,,,
,toni.bright@iowa.gov,,Jennifer.Morrison@iowa.gov,,,
,,,,,,
Address:,,Real Estate Appr. Examining Board,,,Website :,http://www.state.ia.us/government/com/prof/appraiser/home.html
,,200 E. Grand St. Suite 350,,,Phone :,515-725-9021
,,Des Moines,,,Fax :,515-725-9032
,,IOWA,,,,
,,50309,,,,
,,,,,,
KANSAS,,,,,,
Name:,"Sally Pritchett, Executive Director",Name:,Cheryl Magathan,,,
,sally.pritchett@kreab.ks.gov,,cheryl.magathan@kreab.ks.gov,,,
,,,,,,
Address:,,Real Estate Appraisal Board,,,Website :,http://www.kansas.gov/kreab/
,,"700 SW Jackson, Suite 1102",,,Phone :,785-296-6736
,,Topeka,,,Fax :,785-368-6443
,,KANSAS,,,,
,,66603,,,,
,,,,,,
KENTUCKY,,,,,,
Name:,"Larry Disney, Executive Director",Name:,"Angie Thomas, Staff Assistant",,,
,larry.disney@ky.gov,,Angie.Thomas@ky.gov,,,
,,,,,,
Address:,,Real Estate Appraisers Board,,,Website :,http://kreab.ky.gov/
,,"135 W. Irvine Street, Suite 301",,,Phone :,859-623-1658
,,Richmond,,,Fax :,859-623-2598
,,KENTUCKY,,,,
,,40475,,,,
,,,,,,
LOUISIANA,,,,,,
Name:,"Bruce Unangst, Executive Director",Name:,"Anne Brassett, Administrative Assistant",,,
,bunangst@lrec.state.la.us,,abrassett@lrec.state.la.us,,,
,,,,,,
Address:,,Real Estate Appraisers Board,,,Website :,http://www.reab.state.la.us/
,,9071 Interline Avenue,,,Phone :,225-925-1923
,,Baton Rouge,,,Fax :,225-925-4501
,,LOUISIANA,,,,
,,70809,,,,
,,,,,,
MAINE,,,,,,
Name:,"Carol Leighton, Administrator",Name:,Kimberly Baker,,,
,carol.j.leighton@maine.gov,,kimberly.j.baker@maine.gov,,,
,,,,,,
Address:,,Board of Real Estate Appraisers,,,Website :,http://www.maine.gov/pfr/professionallicensing/
,,# 35 State House Station,,,Phone :,207-624-8520
,,Augusta,,,Fax :,207-624-8637
,,MAINE,,,,
,,04333-0035,,,,
,,,,,,
MARIANA ISLANDS,,,,,,
Name:,Florence Sablan,,,,,
,Not Specified,,,,,
,,,,,,
Address:,,Board of Professional Licensing,,,Website :,Not Specified
,,PO Box 502078,,,Phone :,670-664-4808
,,Saipan,,,Fax :,670-664-4814
,,MARIANA ISLANDS,,,,
,,96950,,,,
,,,,,,
MARYLAND,,,,,,
Name:,"Patricia Schott, Administrator",,,,,
,appraiser@dllr.state.md.us,,,,,
,,,,,,
Address:,,Commission Of Real Estate Apprs & Home Inspectors,,,Website :,http://www.dllr.state.md.us/license/reahi/
,,"500 N. Calvert Street, Room 302",,,Phone :,410-230-6165
,,Baltimore,,,Fax :,410-333-6314
,,MARYLAND,,,,
,,21202-3651,,,,
,,,,,,
MASSACHUSETTS,,,,,,
Name:,"Ann-Margarette Barry, Associate Executive Director",Name:,Gladys Clifton,,,
,gladys.m.clifton@state.ma.us,,gladys.m.clifton@state.ma.us,,,
,,,,,,
Address:,,Board of Registration of Real Estate Appraisers,,,Website :,http://www.mass.gov/ocabr/licensee/dpl-boards/ra/
,,"1000 Washington Street, Suite 710",,,Phone :,617-727-3055
,,Boston,,,Fax :,617-727-0139
,,MASSACHUSETTS,,,,
,,02118-6100,,,,
,,,,,,
MICHIGAN,,,,,,
Name:,"Gloria Keene, Licensing Manager",Name:,Felicia Badger,,,
,bcslic@michigan.gov,,bcslic@michigan.gov,,,
,,,,,,
Address:,,Board of Real Estate Appraisers,,,Website :,http://www.michigan.gov/lara
,,P.O. Box 30018,,,Phone :,517-241-9288
,,Lansing,,,Fax :,517-373-1044
,,MICHIGAN,,,,
,,48909,,,,
,,,,,,
MINNESOTA,,,,,,
Name:,"Peter Bratsch, Licensing Director",,,,,
,Peter.Bratsch@state.mn.us,,,,,
,,,,,,
Address:,,Dept. of Commerce,,,Website :,http://mn.gov/commerce/
,,"85 - 7th Place East, Suite 500",,,Phone :,651-539-1600
,,St. Paul,,,Fax :,651-284-4107
,,MINNESOTA,,,,
,,55101-3165,,,,
,,,,,,
MISSISSIPPI,,,,,,
Name:,"Robert Praytor , Administrator",Name:,"Michael E. McGee, Deputy Director",,,
,rpraytor@mrec.state.ms.us,,mmcgee@mrec.state.ms.us,,,
,,,,,,
Address:,,Real Estate Appraiser Licensing & Certification Board,,,Website :,http://www.mrec.state.ms.us/mab/index_mab.html
,,"2506 Lakeland Drive, Suite 300",,,Phone :,601-932-6770
,,Flowood,,,Fax :,601-932-3880
,,MISSISSIPPI,,,,
,,39232,,,,
,,,,,,
MISSOURI,,,,,,
Name:,"Vanessa Beauchamp, Executive Director",Name:,Staff,,,
,vanessa.beauchamp@pr.mo.gov,,reacom@pr.mo.gov,,,
,,,,,,
Address:,,Real Estate Appraisers Commission,,,Website :,http://pr.mo.gov/appraisers.asp
,,P.O. Box 1335,,,Phone :,573-751-0038
,,Jefferson City,,,Fax :,573-526-3489
,,MISSOURI,,,,
,,65102-1335,,,,
,,,,,,
MONTANA,,,,,,
Name:,"Sharon Peterson, Executive Officer",,,,,
,dlibsdrea@mt.gov,,,,,
,,,,,,
Address:,,Board of Real Estate Appraisers,,,Website :,http://bsd.dli.mt.gov/license/bsd_boards/rea_board/board_page.asp
,,"301 South Park Avenue, 4th Floor",,,Phone :,406-841-2381
,,Helena,,,Fax :,406-841-2323
,,MONTANA,,,,
,,59620-0513,,,,
,,,,,,
NEBRASKA,,,,,,
Name:,"Tyler Kohtz, Director",,,,,
,Tyler.Kohtz@nebraska.gov,,,,,
,,,,,,
Address:,,Real Estate Appraiser Board,,,Website :,http://www.appraiser.ne.gov/
,,P.O. Box 94963,,,Phone :,402-471-9015
,,Lincoln,,,Fax :,402-471-9017
,,NEBRASKA,,,,
,,68509-4963,,,,
,,,,,,
NEVADA,,,,,,
Name:,"Brenda Kindred, Apprl. Program Manager",,,,,
,bkindred@red.state.nv.us,,,,,
,,,,,,
Address:,,Nevada Real Estate Division,,,Website :,http://www.red.state.nv.us/
,,"1179 Fairview Drive, Suite E",,,Phone :,775 687 4280
,,Carson City,,,Fax :,775-687-4868
,,NEVADA,,,,
,,89701,,,,
,,,,,,
NEW HAMPSHIRE,,,,,,
Name:,"Bobbie Carter, Program Specialist",Name:,"Dawn Stawecki, Licensing Clerk",,,
,bobbie.carter@nh.gov,,Dawn.Stawecki@nh.gov,,,
,,,,,,
Address:,,Joint Board of Licensure and Certification,,,Website :,http://www.nh.gov/nhreab/
,,121 South Fruit Street,,,Phone :,603-271-2219
,,Concord,,,Fax :,603-271-6990
,,NEW HAMPSHIRE,,,,
,,3301,,,,
,,,,,,
NEW JERSEY,,,,,,
Name:,"Charles Kirk, Acting Executive Director",,,,,
,kirkc@dca.lps.state.nj.us,,,,,
,,,,,,
Address:,,Board of Real Estate Appraisers,,,Website :,http://www.state.nj.us/lps/ca/nonmedical/reappraisers.htm
,,P.O. Box 45032,,,Phone :,973-504-6480
,,Newark,,,Fax :,973-504-6858
,,NEW JERSEY,,,,
,,7102,,,,
,,,,,,
NEW MEXICO,,,,,,
Name:,"Deloisa Trujillo, Board Administrator",Name:,Staff,,,
,Deloisa.Trujillo@state.nm.us,,Real.Estate.Appraisers.Board@state.nm.us,,,
,,,,,,
Address:,,Real Estate Appraisers Board,,,Website :,http://www.rld.state.nm.us/boards/Real_Estate_Appraisers.aspx
,,2550 Cerrillos Road,,,Phone :,505-476-4860
,,Santa Fe,,,Fax :,505-476-4665
,,NEW MEXICO,,,,
,,87505,,,,
,,,,,,
NEW YORK,,,,,,
Name:,Staff,,,,,
,licensing@dos.state.ny.us,,,,,
,,,,,,
Address:,,"Division of Licensing Services,",,,Website :,http://www.dos.state.ny.us/lcns/realestate/
,,PO Box 22001,,,Phone :,518-474-4429
,,Albany,,,Fax :,518-473-6648
,,NEW YORK,,,,
,,12201-2001,,,,
,,,,,,
NORTH CAROLINA,,,,,,
Name:,"Donald Rodgers, Executive Director",Name:,Staff,,,
,Not Specified,,ncab@ncab.org,,,
,,,,,,
Address:,,North Carolina Appraisal Board,,,Website :,http://www.ncappraisalboard.org/
,,5830 Six Forks Road,,,Phone :,919-870-4854
,,Raleigh,,,Fax :,919-870-4859
,,NORTH CAROLINA,,,,
,,27609,,,,
,,,,,,
NORTH DAKOTA,,,,,,
Name:,"Jodie R. Campbell, Board Administrator",,,,,
,jcampbell@bis.midco.net,,,,,
,,,,,,
Address:,,Real Estate Appraiser Qualifications & Ethics Board,,,Website :,http://www.ndreab.org
,,P.O. Box 1336,,,Phone :,701-222-1051
,,Bismarck,,,Fax :,701-222-1051
,,NORTH DAKOTA,,,,
,,58502-1336,,,,
,,,,,,
OHIO,,,,,,
Name:,"Anne Petit, Superintendent",Name:,Staff,,,
,Not Specified,,webreal@com.state.oh.us,,,
,,,,,,
Address:,,Division of Real Estate & Professional Licensing,,,Website :,http://www.com.ohio.gov/real/
,,"77 S. High Street, 20th Floor",,,Phone :,614-466-4100
,,Columbus,,,Fax :,614-644-0584
,,OHIO,,,,
,,43215-6133,,,,
,,,,,,
OKLAHOMA,,,,,,
Name:,"Christine McEntire, Director",,,,,
,Christine.mcentire@oid.ok.gov,,,,,
,,,,,,
Address:,,Real Estate Appraiser Board,,,Website :,http://www.reab.oid.ok.gov/
,,"3625 NW 56th Street, Suite 100",,,Phone :,405-521-6636
,,Oklahoma City,,,Fax :,405-522-6909
,,OKLAHOMA,,,,
,,73112,,,,
,,,,,,
OREGON,,,,,,
Name:,"Gae Lynne Cooper, Interim Administrator",Name:,Cyndie Standley,,,
,gaelynne@oregonaclb.org,,Cyndie@oregonaclb.org,,,
,,,,,,
Address:,,Appraiser Certification and Licensure Board,,,Website :,http://www.oregonaclb.org/
,,"3000 Market Street, NE Suite 541",,,Phone :,503-485-2555
,,Salem,,,Fax :,503-485-2559
,,OREGON,,,,
,,97303,,,,
,,,,,,
PENNSYLVANIA,,,,,,
Name:,"Heidy Weirich, Board Administrator",,,,,
,ST-appraise@state.pa.us,,,,,
,,,,,,
Address:,,Board of Certified Real Estate Appraisers,,,Website :,http://www.dos.state.pa.us/bpoa/cwp/view.asp?a=1104&q=432589
,,2601 N. Third Street,,,Phone :,717-783-4866
,,Harrisburg,,,Fax :,717-705-5540
,,PENNSYLVANIA,,,,
,,17110,,,,
,,,,,,
PUERTO RICO,,,,,,
Name:,"Francisco Rodriguez Bernier, Auxiliary Secretary for Services",,,,,
,frodriguez@estado.gobierno.pr,,,,,
,,,,,,
Address:,,Board of Examiners Division,,,Website :,http://www.estado.gobierno.pr/
,,P.O. Box 3271,,,Phone :,787-722-4816
,,San Juan,,,Fax :,787-722-4818
,,PUERTO RICO,,,,
,,00902-3271,,,,
,,,,,,
RHODE ISLAND,,,,,,
Name:,"William Deluca, Real Estate Administrator",,,,,
,wdeluca@dbr.ri.gov,,,,,
,,,,,,
Address:,,Real Estate Appraisers Board,,,Website :,http://www.dbr.state.ri.us/divisions/commlicensing/realestate.php
,,"1511 Pontiac Avenue, Building 69-1",,,Phone :,401-462-9506
,,Cranston,,,Fax :,401-462-9645
,,RHODE ISLAND,,,,
,,2920,,,,
,,,,,,
SOUTH CAROLINA,,,,,,
Name:,"Rod Atkinson, Administrator",Name:,"Beau Tiller, Education Manager",,,
,Roderick.Atkinson@llr.sc.gov,,tillerb@llr.sc.gov,,,
,,,,,,
Address:,,Real Estate Appraisers Board,,,Website :,http://www.llr.state.sc.us/POL/REAB/
,,P.O. Box 11847,,,Phone :,803-896-4400
,,Columbia,,,Fax :,803-896-4404
,,SOUTH CAROLINA,,,,
,,29211-1847,,,,
,,,,,,
SOUTH DAKOTA,,,,,,
Name:,"Sherry Bren, Executive Director",Name:,General Email,,,
,sherry.bren@state.sd.us,,appraisercertification@state.sd.us,,,
,,,,,,
Address:,,Appraiser Certification Program,,,Website :,http://dlr.sd.gov/reg/appraisers/appraiser.html
,,308 South Pierre Street,,,Phone :,605-773-4608
